id_sise,nombre,numero_circuito
1,PRIMER CIRCUITO,1
2,SEGUNDO CIRCUITO,2
3,TERCER CIRCUITO,3
4,CUARTO CIRCUITO,4
5,QUINTO CIRCUITO,5
6,SEXTO CIRCUITO,6
7,SÉPTIMO CIRCUITO,7
8,OCTAVO CIRCUITO,8
9,NOVENO CIRCUITO,9
10,DÉCIMO CIRCUITO,10
41,DÉCIMO PRIMER CIRCUITO,11
43,DÉCIMO SEGUNDO CIRCUITO,12
46,DÉCIMO TERCER CIRCUITO,13
38,DÉCIMO CUARTO CIRCUITO,14
42,DÉCIMO QUINTO CIRCUITO,15
45,DÉCIMO SEXTO CIRCUITO,16
44,DÉCIMO SÉPTIMO CIRCUITO,17
40,DÉCIMO OCTAVO CIRCUITO,18
39,DÉCIMO NOVENO CIRCUITO,19
20,VIGÉSIMO CIRCUITO,20
51,VIGÉSIMO PRIMER CIRCUITO,21
53,VIGÉSIMO SEGUNDO CIRCUITO,22
56,VIGÉSIMO TERCER CIRCUITO,23
48,VIGÉSIMO CUARTO CIRCUITO,24
52,VIGÉSIMO QUINTO CIRCUITO,25
55,VIGÉSIMO SEXTO CIRCUITO,26
54,VIGÉSIMO SÉPTIMO CIRCUITO,27
50,VIGÉSIMO OCTAVO CIRCUITO,28
49,VIGÉSIMO NOVENO CIRCUITO,29
30,TRIGÉSIMO CIRCUITO,30
47,TRIGÉSIMO PRIMER CIRCUITO,31
109,TRIGÉSIMO SEGUNDO CIRCUITO,32
